Anything										ili	synset	sem_class	hypernym, hypernym tree	hypernym, hypernym tree	hypernym, hypernym tree	Бележки - вкл. при две, кое е по-вероятно 		Цвети	Валя	Различно решение, ако има	ili на съотнесеното
	Entity									eng-30-00001740-n	n: entity:1	noun.Tops						n: entity:1	n: entity:1		eng-30-00001740-n
		Abstract Entity								eng-30-00002137-n	n: abstraction:1; abstract entity:1	noun.Tops	n: entity:1					n: abstraction:1; abstract entity:1	n: abstraction:1; abstract entity:1		eng-30-00002137-n
			Concept							eng-30-05835747-n	n: concept:1; conception:3; construct:7; n: cognition:1; knowledge:1; noesis:1	noun.cognition	n: idea:2; thought:2 < n: content:5; cognitive content:1; mental object:1 < n: cognition:1; knowledge:1; noesis:1 < n: psychological feature:1 < n: abstraction:1; abstract entity:1	n: psychological feature:1 < n: abstraction:1; abstract entity:1		n: cognition:1; knowledge:1; noesis:1		n: concept:1; conception:3; construct:7; n: cognition:1; knowledge:1; noesis:1	n: cognition:1; knowledge:1; noesis:1	n: cognition:1; knowledge:1; noesis:1	eng-30-00023271-n
				Proposition						eng-30-06750804-n	n: proposition:3	noun.communication	n: statement:4 < n: message:5; content:6; subject matter:1; substance:5 < < n: communication:1 < n: abstraction:1; abstract entity:1					n: proposition:3	n: proposition:3		eng-30-06750804-n
					Narrative					eng-30-07221094-n	n: narrative:2; narration:3; story:6; tale:2	noun.communication	n: message:5; content:6; subject matter:1; substance:5 < n: communication:1 < n: abstraction:1; abstract entity:1					n: narrative:2; narration:3; story:6; tale:2	n: narrative:2; narration:3; story:6; tale:2		eng-30-07221094-n
				Rule						eng-30-06686736-n	n: approval:2; commendation:1	noun.communication	n: message:5; content:6; subject matter:1; substance:5 < n: communication:1 < n: abstraction:1; abstract entity:1			n: rule:10 {noun.cognition}; regulation:4 < n: concept:1; conception:3; construct:7 < n: idea:2; thought:2 < n: content:5; cognitive content:1; mental object:1 < n: cognition:1; knowledge:1; noesis:1 < n: psychological feature:1 < n: abstraction:1; abstract entity:1 < n: entity:1 		n: approval:2; commendation:1	n: rule:10		eng-30-06686736-n; eng-30-05846054-n
					Permission					eng-30-06689297-n	n: permission:2	noun.communication	n: approval:2; commendation:1 < n: message:5; content:6; subject matter:1; substance:5 < n: communication:1 < n: abstraction:1; abstract entity:1					n: permission:2	n: permission:2		eng-30-06689297-n
				Dispute						eng-30-07180787-n	n: disagreement:2	noun.communication				n: dispute:4; difference:2; difference of opinion:1; conflict:6 {noun.communication} < n: disagreement:2 < n: speech act:1 {noun.communication} <  n: act:3; deed:1; human action:1; human activity:1 {noun.act} < n: event:1 {noun.Top} < n: psychological feature:1 {noun.attribute} < n: abstraction:1; abstract entity:1 {noun.Tops} < n: entity:1 {noun.Tops} 		n: disagreement:2	n: dispute:4; difference:2; difference of opinion:1; conflict:6		eng-30-07180787-n; eng-30-07181935-n
				Information						eng-30-05816287-n	n: information:2	noun.cognition	n: cognition:1; knowledge:1; noesis:1 < n: psychological feature:1 < n: abstraction:1; abstract entity:1					n: information:2	n: information:2		eng-30-05816287-n
			Information Source							eng-30-00033020-n	n: communication:1	noun.communication	n: abstraction:1; abstract entity:1					n: communication:1	n: communication:1		eng-30-00033020-n
				Document						eng-30-06598915-n	n: message:5; content:6; subject matter:1; substance:5	noun.communication	n: communication:1 < n: abstraction:1; abstract entity:1 < n: entity:1			n: document:6 {noun.possession} < n: communication:1 {noun.communication} < n: abstraction:1; abstract entity:1 {noun.Tops} < n: entity:1 {noun.Tops} 		n: message:5; content:6; subject matter:1; substance:5	n: document:6		eng-30-06598915-n; eng-30-13403331-n
					Agreement					eng-30-06722453-n	n: statement:4	noun.communication	n: message:5; content:6; subject matter:1; substance:5 < n: communication:1 < n: abstraction:1; abstract entity:1			n: agreement:2; arrangement:4 {noun.cognition} < n: planning:3; preparation:5; provision:3 {noun.cognition} < n: thinking:2; thought:1; thought process:1; cerebration:1; intellection:1; mentation:1 {noun.cognition} < n: higher cognitive process:1 {noun.cognition} < n: process:11; cognitive process:1; mental process:1; operation:8; cognitive operation:1 {noun.cognition} < n: cognition:1; knowledge:1; noesis:1 {noun.cognition} < n: psychological feature:1 {noun.attribute} < n: abstraction:1; abstract entity:1 {noun.Tops} < n: entity:1 {noun.Tops}		n: statement:4	n: agreement:2; arrangement:4		eng-30-06722453-n; eng-30-05795044-n
				Language						eng-30-06282651-n; eng-30-05650820-n	n: language:3; linguistic communication:1; n: language:1; speech:1	noun.communication, noun.cognition	n: communication:1 < n: abstraction:1; abstract entity:1	 n: faculty:1; mental faculty:1; module:4 < n: ability:2; power:4 < n: cognition:1; knowledge:1; noesis:1 < n: psychological feature:1 < n: abstraction:1; abstract entity:1		n: language:3; linguistic communication:1		n: language:3; linguistic communication:1; n: language:1; speech:1	n: language:3; linguistic communication:1		eng-30-06282651-n; eng-30-05650820-n
					Number					eng-30-06326526-n	number:10	noun.communication				n: number:10 {noun.communication} < n: grammatical category:1; syntactic category:1 {noun.communication} < n: class:5; category:2; family:3 {noun.group} < n: collection:4; aggregation:2; accumulation:2; assemblage:3 {noun.group} < n: group:1; grouping:1 {noun.group} < n: abstraction:1; abstract entity:1 {noun.Tops} < n: entity:1 {noun.Tops}		number:10	number:10		eng-30-06326526-n
				Broadcast						eng-30-06254007-n	n: broadcast:4	noun.communication	n: message:4 < n: communication:1 < n: abstraction:1; abstract entity:1					n: broadcast:4	n: broadcast:4		eng-30-06254007-n
				Medium						eng-30-06254475-n	medium:4	noun.communication	n: communication:2; communicating:1 < n: act:3; deed:1; human action:1; human activity:1 < n: event:1 < n: psychological feature:1 < n: abstraction:1; abstract entity:1					medium:4	medium:4		eng-30-06254475-n
				Radio_Program						eng-30-06622366-n	n: radio broadcast:1	noun.communication	n: broadcast:4			n: radio broadcast:1 {noun.communication} < n: broadcast:4 {noun.communication} < n: message:4 {noun.communication} < n: communication:1 {noun.communication} < n: abstraction:1; abstract entity:1 {noun.Tops} < n: entity:1 {noun.Tops}		n: radio broadcast:1	n: radio broadcast:1		eng-30-06622366-n
				Recording						eng-30-04063661-n	n: recording:2	noun.artifact	n: signal:4; signaling:1; sign:12 (noun.communication) < n: communication:1 < n: abstraction:1; abstract entity:1 					n: recording:2	n: recording:2		eng-30-04063661-n
				TV_Program						eng-30-06620579-n	n: television program:1; TV program:1; television show:1; TV show:1	noun.communication	n: broadcast:5; program:8; programme:7 < n: show:15 < n: social event:1 < n: event:1 < n: psychological feature:1 < n: abstraction:1; abstract entity:1					n: television program:1; TV program:1; television show:1; TV show:1	n: television program:1; TV program:1; television show:1; TV show:1		eng-30-06620579-n
			Numerical Value							eng-30-00033615-n	n: measure:1; quantity:1; amount:1	noun.quantity	n: abstraction:1; abstract entity:1			n: number:9; figure:10 {noun.attribute} < n: amount:5 {noun.attribute} < n: magnitude:1 {noun.attribute} < n: property:2 {noun.attribute} < n: abstraction:1; abstract entity:1 {noun.Tops} < n: entity:1 {noun.Tops}		n: measure:1; quantity:1; amount:1	n: number:9; figure:10		eng-30-00033615-n; eng-30-05121418-n
				Money Value						eng-30-13413493-n	 n: value:10; economic value:1	noun.possession	n: measure:1; quantity:1; amount:1 < n: abstraction:1; abstract entity:1					 n: value:10; economic value:1	 n: value:10; economic value:1		eng-30-13413493-n
				Quantity						eng-30-00033615-n	n: measure:1; quantity:1; amount:1	noun.quantity	n: abstraction:1; abstract entity:1					n: measure:1; quantity:1; amount:1	n: measure:1; quantity:1; amount:1		eng-30-00033615-n
			Psych							eng-30-00023100-n	n: psychological feature:1	noun.attribute	n: abstraction:1; abstract entity:1					n: psychological feature:1	n: psychological feature:1		eng-30-00023100-n
				Attitude						eng-30-06193203-n	 n: attitude:3; mental attitude:1	noun.cognition	n: cognition:1; knowledge:1; noesis:1 < n: psychological feature:1 < n: abstraction:1; abstract entity:1					 n: attitude:3; mental attitude:1	 n: attitude:3; mental attitude:1		eng-30-06193203-n
				Emotion						eng-30-07480068-n; eng-30-00026192-n	 n: emotion:1; n: feeling:1	noun.feeling	n: feeling:1 < n: state:1 < n: attribute:1 < n: abstraction:1; abstract entity:1					 n: emotion:1; n: feeling:1	 n: emotion:1; n: feeling:1		eng-30-07480068-n; eng-30-00026192-n
				Goal						eng-30-00023271-n	n: cognition:1; knowledge:1; noesis:1	noun.cognition	n: psychological feature:1 < n: abstraction:1; abstract entity:1			n: goal:3; end:9 {noun.cognition} < n: content:5; cognitive content:1; mental object:1 {noun.cognition} < n: cognition:1; knowledge:1; noesis:1 {noun.cognition} < n: psychological feature:1 {noun.attribute} < n: abstraction:1; abstract entity:1 {noun.Tops} < n: entity:1 {noun.Tops}		n: cognition:1; knowledge:1; noesis:1	n: goal:3; end:9	n: goal:3; end:9	eng-30-05980875-n
			Resource							eng-30-13331778-n; eng-30-05154676-n	n: resource:3; n: resource:1	noun.possession, noun.attribute	assets:1 < n: possession:1 < n: relation:1 < n: abstraction:1; abstract entity:1	n: asset:1; plus:4 < n: quality:3 < n: attribute:1 < n: abstraction:1; abstract entity:1		n: resource:3; n: resource:1		n: resource:3; n: resource:1	n: resource:3	n: resource:3	eng-30-13331778-n
				Asset						eng-30-00032613-n; eng-30-13329641-n	n: possession:1; n: assets:1	noun.possession	n: relation:1 < n: abstraction:1; abstract entity:1	n: possession:1 < n: relation:1 < n: abstraction:1; abstract entity:1		n: possession:1		n: possession:1; n: assets:1	n: assets:1		eng-30-00032613-n; eng-30-13329641-n
					Deficit					eng-30-13396054-n	n: liabilities:1	noun.possession	n: possession:1 < n: relation:1 < n: abstraction:1; abstract entity:1			n: deficit:2 {noun.possession} < n: liabilities:1 {noun.possession} < n: possession:1 {noun.possession} < n: relation:1 {noun.relation} < n: abstraction:1; abstract entity:1 < n: entity:1 {noun.Tops}		n: liabilities:1	n: deficit:2		eng-30-13396054-n; eng-30-13396276-n
					Money					eng-30-13244109-n	n: property:5; belongings:1; holding:2	noun.possession	n: possession:1 < n: relation:1 < n: abstraction:1; abstract entity:1			n: money:1 < n: wealth:2 < n: property:5; belongings:1; holding:2 < n: possession:1 < n: relation:1 < n: abstraction:1; abstract entity:1		n: property:5; belongings:1; holding:2	n: money:1		eng-30-13244109-n; eng-30-13250542-n
					Reputation					eng-30-06207199-n; eng-30-14438125-n	n: reputation:1; report:7; n: repute:2; reputation:2	noun.cognition, noun.state	n: estimate:5; estimation:3 < n: respect:7; esteem:3; regard:7 < n: attitude:3; mental attitude:1 < n: cognition:1; knowledge:1; noesis:1 < n: psychological feature:1 < n: abstraction:1; abstract entity:1	n: honor:7; honour:7; laurels:2 < n: standing:9 < n: status:2; position:18 < n: state:1 < n: attribute:1 < n: abstraction:1; abstract entity:1		n: reputation:1; report:7		n: reputation:1; report:7; n: repute:2; reputation:2	n: repute:2; reputation:2	n: repute:2; reputation:2	eng-30-14438125-n
					Time_Period					eng-30-15113229-n	n: time period:1; period of time:1; period:3	noun.time	n: fundamental quantity:1; fundamental measure:1 < n: measure:1; quantity:1; amount:1 < n: abstraction:1; abstract entity:1					n: time period:1; period of time:1; period:3	n: time period:1; period of time:1; period:3		eng-30-15113229-n
			Time_Period							eng-30-15113229-n	n: time period:1; period of time:1; period:3	noun.time	n: fundamental quantity:1; fundamental measure:1 < n: measure:1; quantity:1; amount:1 < n: abstraction:1; abstract entity:1					n: time period:1; period of time:1; period:3	n: time period:1; period of time:1; period:3		eng-30-15113229-n
				Vacation						eng-30-15137890-n	n: vacation:3; holiday:2	noun.time	n: leisure:2; leisure time:1 < n: time off:1 < n: time period:1; period of time:1; period:3 < n: fundamental quantity:1; fundamental measure:1 < n: measure:1; quantity:1; amount:1 < n: abstraction:1; abstract entity:1					n: vacation:3; holiday:2	n: vacation:3; holiday:2		eng-30-15137890-n
			Obligation							eng-30-01129920-n; eng-30-14490110-n	n: duty:2; responsibility:1; obligation:1;  n: obligation:5	noun.act	n: duty:2; responsibility:1; obligation:1< n: social control:1 < n: group action:1 < n: event:1 + n: act:3; deed:1; human action:1; human activity:1 	n: obligation:5 < state:1 < n: attribute:1 < < n: abstraction:1; abstract entity:1		obligation:1; n: obligation:5		n: duty:2; responsibility:1; obligation:1;  n: obligation:5	n: obligation:5		eng-30-01129920-n; eng-30-14490110-n
			Opportunity							eng-30-14481929-n	n: possibility:4; possibleness:1	noun.state	n: possibility:4; possibleness:1 < n: being:2; beingness:1; existence:2 < n: state:1 < n: attribute:1 < n: abstraction:1; abstract entity:1			n: opportunity:1; chance:9 < n: possibility:4; possibleness:1		n: possibility:4; possibleness:1	n: opportunity:1; chance:9		eng-30-14481929-n; eng-30-14483917-n
			Power							eng-30-05616246-n	n: ability:2; power:4	noun.cognition	n: cognition:1; knowledge:1; noesis:1 < n: psychological feature:1 < n: abstraction:1; abstract entity:1					n: ability:2; power:4	n: ability:2; power:4		eng-30-05616246-n
			Privilege							eng-30-05174653-n	n: right:32	noun.attribute	n: abstraction:6; abstract:8 < n: concept:1; conception:3; construct:7 < n: idea:2; thought:2 < n: content:5; cognitive content:1; mental object:1 < n: cognition:1; knowledge:1; noesis:1 < n: psychological feature:1 < n: abstraction:1; abstract entity:1		n: prerogative:1; privilege:3; perquisite:1; exclusive right:1 | n: privilege:4	n: privilege:2 {noun.attribute} < n: advantage:3; vantage:1 {noun.attribute} < n: asset:1; plus:4 {noun.attribute} < n: quality:3 {noun.attribute} <  n: attribute:1 {noun.attribute} < n: abstraction:1; abstract entity:1 {noun.Tops} < n: entity:1 {noun.Tops}		n: right:32	n: privilege:2		eng-30-05174653-n
			Responsibility							eng-30-01129920-n	n: duty:2; responsibility:1; obligation:1	noun.act	n: duty:2; responsibility:1; obligation:1< n: social control:1 < n: group action:1 < n: event:1 + n: act:3; deed:1; human action:1; human activity:1 			n: responsibility:2; responsibleness:1 {noun.attribute} < n: trustworthiness:1; trustiness:1 {noun.attribute} < n: trait:1 {noun.attribute} < n: attribute:1 {noun.attribute} < n: abstraction:1; abstract entity:1 {noun.Tops} < n: entity:1 {noun.Tops}		n: duty:2; responsibility:1; obligation:1	n: responsibility:2; responsibleness:1		eng-30-01129920-n; eng-30-04669247-n
			Time_Point							eng-30-15180528-n	n: point:40; point in time:1	noun.time	n: measure:1; quantity:1; amount:1 < n: abstraction:1; abstract entity:1					n: point:40; point in time:1	n: point:40; point in time:1		eng-30-15180528-n
			Uncertainty							eng-30-04756887-n; eng-30-05698247-n	n: uncertainty:1; uncertainness:1; precariousness:1; n: doubt:4; uncertainty:2; incertitude:1; dubiety:1; doubtfulness:2; dubiousness:2	noun.attribute, noun.cognition	n: quality:3 < n: attribute:1 < n: abstraction:1; abstract entity:1	n: cognitive state:1; state of mind:1 < n: psychological state:1; psychological condition:1; mental state:1; mental condition:1 < n: condition:11; status:1 < hypernym: en - n: state:1 < n: attribute:1 < n: abstraction:1; abstract entity:1		n: uncertainty:1; uncertainness:1; precariousness:1		n: uncertainty:1; uncertainness:1; precariousness:1; n: doubt:4; uncertainty:2; incertitude:1; dubiety:1; doubtfulness:2; dubiousness:2	n: uncertainty:1; uncertainness:1; precariousness:1		eng-30-04756887-n; eng-30-05698247-n
		Energy								eng-30-11452079-n	n: energy:4	noun.phenomenon	n: physical phenomenon:1 < n: natural phenomenon:1 < n: phenomenon:1 < n: process:1; physical process:1 < n: physical entity:1		това не е абстрактно!	 възможно! n: energy:3; vigor:3; vigour:3; zip:4 {noun.attribute} < n: force:13; forcefulness:1; strength:3 {noun.attribute} < n: intensity:3; intensiveness:1 {noun.attribute} < n: degree:1; grade:7; level:15 {noun.attribute} < n: property:2 {noun.attribute} < n: attribute:1 {noun.attribute} < n: abstraction:1; abstract entity:1 {noun.Tops} < n: entity:1 {noun.Tops}		n: energy:4	n: energy:3; vigor:3; vigour:3; zip:4		eng-30-11452079-n; eng-30-05035961-n
			Wavelength							eng-30-05086269-n; eng-30-07345593-n	n: wavelength:1; n: wave:9; undulation:1	noun.attribute; noun.event	n: distance:3 < n: spacing:1; spatial arrangement:1 < n: placement:3; arrangement:2 < n: position:8; spatial relation:1 < n: relation:1 < n: abstraction:1; abstract entity:1	n: movement:8; motion:6 < n: happening:1; occurrence:1; occurrent:2; natural event:1 < n: event:1 < n: psychological feature:1 < n: abstraction:1; abstract entity:1	n: wavelength:1; n: wave:9	n: wavelength:2 {noun.cognition} < n: orientation:5 {noun.cognition} < n: attitude:3; mental attitude:1  {noun.cognition} < n: cognition:1; knowledge:1; noesis:1 {noun.cognition} <  n: psychological feature:1 {noun.attribute} < n: abstraction:1; abstract entity:1 {noun.Tops} < n: entity:1 {noun.Tops}		n: wavelength:1; n: wave:9; undulation:1	n: wavelength:2	n: wavelength:1; n: wave:9; undulation:1	eng-30-05086269-n; eng-30-07345593-n; 
				Light						eng-30-11473954-n	n: light:44; visible light:1; visible radiation:1	noun.phenomenon	n: actinic radiation:1; actinic ray:1 < n: electromagnetic radiation:1; electromagnetic wave:1; nonparticulate radiation:1 < n: radiation:5 < n: energy:5; free energy:1 < n: physical phenomenon:1 < n: natural phenomenon:1 < n: phenomenon:1 < n: process:1; physical process:1 < n: physical entity:1			n: light:35; lightness:2 {noun.attribute} < n: visual property:1 {noun.attribute} < n: property:2 {noun.attribute} < n: attribute:1 {noun.attribute} < n: abstraction:1; abstract entity:1 {noun.Tops} < n: entity:1 {noun.Tops}		n: light:44; visible light:1; visible radiation:1	n: light:35; lightness:2		eng-30-11473954-n; eng-30-04951373-n
				Signal						eng-30-11447319-n; eng-30-06791372-n	n: signal:6; n: signal:4; signaling:1; sign:12	noun.phenomenon; noun.communication	n: electricity:3; electrical energy:1 < n: energy:5; free energy:1 < n: physical phenomenon:1 < n: natural phenomenon:1 < n: phenomenon:1 < n: process:1; physical process:1 < n: physical entity:1	n: communication:1 < n: abstraction:1; abstract entity:1	n: signal:6; n: signal:4	n: signal:5 {noun.motive} < n: incitement:4; incitation:2; provocation:3 < n: psychic energy:1; mental energy:1 < n: motivation:1; motive:1; need:1 < n: psychological feature:1 {noun.attribute} < n: abstraction:1; abstract entity:1 {noun.Tops} < n: entity:1 {noun.Tops}		n: signal:6; n: signal:4; signaling:1; sign:12	n: signal:5	n: signal:6; n: signal:4; signaling:1; sign:12	eng-30-11447319-n; eng-30-06791372-n
				Sound						eng-30-11480930-n	n: sound:24; n: audio:4; sound:19	noun.phenomenon; noun.communication	n: mechanical phenomenon:1 < n: physical phenomenon:1 < n: natural phenomenon:1 < n: phenomenon:1 < n: process:1; physical process:1 < n: physical entity:1	n: auditory communication:1 < n: communication:1 < n: abstraction:1; abstract entity:1		n: sound:17 {noun.attribute} < n: sound property:1 < n: property:2 < n: attribute:1 <  n: abstraction:1; abstract entity:1 {noun.Tops} < n: entity:1 {noun.Tops}		n: sound:24; n: audio:4; sound:19	n: sound:17		eng-30-11480930-n; eng-30-04981139-n
			Force							eng-30-11458624-n	n: force:19	noun.phenomenon	n: physical phenomenon:1 < n: natural phenomenon:1 < n: phenomenon:1 < n: process:1; physical process:1 < n: physical entity:1			 n: force:13; forcefulness:1; strength:3 {noun.attribute} < n: intensity:3; intensiveness:1 < n: degree:1; grade:7; level:15 < n: property:2 < n: attribute:1 <  n: abstraction:1; abstract entity:1 {noun.Tops} < n: entity:1 {noun.Tops}		n: force:19	n: force:13; forcefulness:1; strength:3		eng-30-11458624-n; eng-30-05035353-n
			Heat							eng-30-11466043-n	n: heat:10; heat energy:1	noun.phenomenon	n: energy:5; free energy:1 < n: physical phenomenon:1 < n: natural phenomenon:1 < n: phenomenon:1 < n: process:1; physical process:1 < n: physical entity:1			n: hotness:2; heat:7; high temperature:1 {noun.attribute} < n: temperature:1 < n: fundamental quantity:1; fundamental measure:1 < n: measure:1; quantity:1; amount:1 < n: abstraction:1; abstract entity:1 {noun.Tops} < n: entity:1 {noun.Tops}		n: heat:10; heat energy:1	n: hotness:2; heat:7; high temperature:1		eng-30-11466043-n; eng-30-05016171-n
		Physical Object								eng-30-00001930-n; eng-30-00002684-n; eng-30-00003553-n	n: physical entity:1; n: object:1; physical object:1; n: whole:1; unit:1	noun.Tops	n: entity:1	n: physical entity:1 < n: entity:1	n: object:1; physical object:1 < n: physical entity:1 < n: entity:1	n: physical entity:1		n: physical entity:1; n: object:1; physical object:1; n: whole:1; unit:1	n: physical entity:1; n: object:1; physical object:1; n: whole:1; unit:1		eng-30-00001930-n; eng-30-00002684-n; eng-30-00003553-n
			Animate							eng-30-00004258-n; eng-30-00004475-n	n: living thing:1; animate thing:1;  n: organism:1; being:1	noun.Tops	n: whole:1; unit:1 < n: object:1; physical object:1 < n: physical entity:1	n: living thing:1; animate thing:1;  n: organism:1; being:1		n: organism:1; being:1; animate thing:1 има хипоним cell		n: living thing:1; animate thing:1;  n: organism:1; being:1	n: living thing:1; animate thing:1		eng-30-00004258-n; eng-30-00004475-n
