Anything										ili	synset	sem_class	hypernym, hypernym tree	hypernym, hypernym tree	hypernym, hypernym tree	Бележки - вкл. при две, кое е по-вероятно 		Цвети	Валя	Различно решение, ако има	ili на съотнесеното
				Animal						eng-30-00015388-n; eng-30-01861778-n	 n: animal:1; animate being:1; beast:1; brute:1; creature:1; fauna:1; n: mammal:1; mammalian:1	noun.animal	n: organism:1; being:1 < n: living thing:1; animate thing:1;  n: organism:1; being:1	n: vertebrate:1; craniate:1 < n: chordate:1 < n: animal:1; animate being:1; beast:1; brute:1; creature:1; fauna:1		n: animal:1; animate being:1; beast:1; brute:1; creature:1		 n: animal:1; animate being:1; beast:1; brute:1; creature:1; fauna:1; n: mammal:1; mammalian:1	 n: animal:1; animate being:1; beast:1; brute:1; creature:1; fauna:1; n: mammal:1; mammalian:1		eng-30-00015388-n; eng-30-01861778-n
					Cat					eng-30-02120997-n	n: feline:1; felid:1	noun.animal	n: carnivore:2 < n: placental:2; placental mammal:1; eutherian:1; eutherian mammal:1 < n: mammal:1; mammalian:1 < n: vertebrate:1; craniate:1 < n: chordate:1 < n: animal:1; animate being:1; beast:1; brute:1; creature:1; fauna:1					n: feline:1; felid:1	n: feline:1; felid:1		eng-30-02120997-n
					Cow					eng-30-02399000-n	n: ruminant:1	noun.animal	n: even-toed ungulate:1; artiodactyl:1; artiodactyl mammal:1 < n: ungulate:1; hoofed mammal:1 < n: placental:2; placental mammal:1; eutherian:1; eutherian mammal:1 < < n: mammal:1; mammalian:1 < n: vertebrate:1; craniate:1 < n: chordate:1 < n: animal:1; animate being:1; beast:1; brute:1; creature:1; fauna:1					n: ruminant:1	n: ruminant:1		eng-30-02399000-n
					Dog					eng-30-02083346-n	n: canine:1; canid:1	noun.animal	n: carnivore:2 < n: placental:2; placental mammal:1; eutherian:1; eutherian mammal:1 < n: mammal:1; mammalian:1 < n: vertebrate:1; craniate:1 < n: chordate:1 < n: animal:1; animate being:1; beast:1; brute:1; creature:1; fauna:1					n: canine:1; canid:1	n: canine:1; canid:1		eng-30-02083346-n
					Fetus					eng-30-01459791-n	n: fetus:1; foetus:1	noun.animal	n: vertebrate:1; craniate:1 < n: chordate:1 < n: animal:1; animate being:1; beast:1; brute:1; creature:1; fauna:1					n: fetus:1; foetus:1	n: fetus:1; foetus:1		eng-30-01459791-n
					Horse					eng-30-02374149-n	n: equine:1; equid:1	noun.animal	n: odd-toed ungulate:1; perissodactyl:1; perissodactyl mammal:1 < n: ungulate:1; hoofed mammal:1 < n: placental:2; placental mammal:1; eutherian:1; eutherian mammal:1 < < n: mammal:1; mammalian:1 < n: vertebrate:1; craniate:1 < n: chordate:1 < n: animal:1; animate being:1; beast:1; brute:1; creature:1; fauna:1					n: equine:1; equid:1	n: equine:1; equid:1		eng-30-02374149-n
					Primate					eng-30-02469914-n	n: primate:1	noun.animal	n: placental:2; placental mammal:1; eutherian:1; eutherian mammal:1 < < n: mammal:1; mammalian:1 < n: vertebrate:1; craniate:1 < n: chordate:1 < n: animal:1; animate being:1; beast:1; brute:1; creature:1; fauna:1					n: primate:1	n: primate:1		eng-30-02469914-n
				Human						eng-30-00007846-n	 n: person:1; individual:1; someone:1; somebody:1; mortal:1; soul:1	noun.person	n: organism:1; being:1 < n: living thing:1; animate thing:1					 n: person:1; individual:1; someone:1; somebody:1; mortal:1; soul:1	 n: person:1; individual:1; someone:1; somebody:1; mortal:1; soul:1		eng-30-00007846-n
					Deity					eng-30-09505418-n	n: deity:1; divinity:4; god:2; immortal:2	noun.person	n: spiritual being:1; supernatural being:1 <  n: belief:2 < n: content:5; cognitive content:1; mental object:1 < n: cognition:1; knowledge:1; noesis:1 < n: psychological feature:1 < n: abstraction:1; abstract entity:1		или n: god:3 {noun.person} < n: superior:10; higher-up:1; superordinate:4 < n: leader:2 < n: person:1; individual:1; someone:1; somebody:1; mortal:1; soul:1 < n: organism:1; being:1 < n: living thing:1; animate thing:1			n: deity:1; divinity:4; god:2; immortal:2	n: deity:1; divinity:4; god:2; immortal:2; n: god:3	n: deity:1; divinity:4; god:2; immortal:2; n: god:3	eng-30-09505418-n; eng-30-10133307-n
					Fetus					eng-30-01459791-n	n: fetus:1; foetus:1	noun.animal	n: vertebrate:1; craniate:1 < n: chordate:1 < n: animal:1; animate being:1; beast:1; brute:1; creature:1; fauna:1					n: fetus:1; foetus:1	n: fetus:1; foetus:1		eng-30-01459791-n
					Ghost					eng-30-09545976-n	n: ghost:6	noun.person	n: soul:5; psyche:2 < n: spirit:7 < n: vital principle:1; life principle:1 < n: causal agent:1; cause:1; causal agency:1 < n: physical entity:1					n: ghost:6	n: ghost:6		eng-30-09545976-n
					Self					eng-30-09604981-n	n: self:3	noun.person	n: person:1; individual:1; someone:1; somebody:1; mortal:1; soul:1 < n: organism:1; being:1 + n: causal agent:1; cause:1; causal agency:1 < ... < n: person:1; individual:1; someone:1; somebody:1; mortal:1; soul:1 < n: organism:1; being:1 + n: causal agent:1; cause:1; causal agency:1 < ... < n: physical entity:1					n: self:3	n: self:3		eng-30-09604981-n
				Bird						eng-30-01503061-n	 n: bird:2	noun.animal	n: vertebrate:1; craniate:1 < n: chordate:1 < n: animal:1; animate being:1; beast:1; brute:1; creature:1; fauna:1					 n: bird:2	 n: bird:2		eng-30-01503061-n
				Cetacean						eng-30-02062017-n	n: aquatic mammal:1	noun.animal	n: placental:2; placental mammal:1; eutherian:1; eutherian mammal:1 			n: cetacean:1; cetacean mammal:1; blower:1 {noun.animal} < n: aquatic mammal:1 < n: placental:2; placental mammal:1; eutherian:1; eutherian mammal:1 < ... < n: organism:1; being:1		n: aquatic mammal:1	n: cetacean:1; cetacean mammal:1; blower:1	n: aquatic mammal:1	eng-30-02062017-n
				Fish						eng-30-01473806-n; eng-30-01974773-n	 n: aquatic vertebrate:1; n: crustacean:1	noun.animal	n: vertebrate:1; craniate:1 < n: chordate:1 < n: animal:1; animate being:1; beast:1; brute:1; creature:1; fauna:1	n: arthropod:1 < n: invertebrate:1 < n: animal:1; animate being:1; beast:1; brute:1; creature:1; fauna:1		 n: aquatic vertebrate:1 + n: crustacean:1 - и двете		 n: aquatic vertebrate:1; n: crustacean:1	 n: aquatic vertebrate:1; n: crustacean:1		eng-30-01473806-n; eng-30-01974773-n
				Insect						eng-30-02159955-n	n: insect:1	noun.animal	n: arthropod:1 < n: invertebrate:1 < n: animal:1; animate being:1; beast:1; brute:1; creature:1; fauna:1					n: insect:1	n: insect:1		eng-30-02159955-n
				Snake						eng-30-01661091-n	 n: reptile:1; reptilian:1	noun.animal	n: vertebrate:1; craniate:1 < n: chordate:1 < n: animal:1; animate being:1; beast:1; brute:1; creature:1; fauna:1					 n: reptile:1; reptilian:1	 n: reptile:1; reptilian:1		eng-30-01661091-n
				Spider						eng-30-01769347-n	n: arachnid:1; arachnoid:1	noun.animal	n: arthropod:1 < n: invertebrate:1 < n: animal:1; animate being:1; beast:1; brute:1; creature:1; fauna:1					n: arachnid:1; arachnoid:1	n: arachnid:1; arachnoid:1		eng-30-01769347-n
			Inanimate							eng-30-00019128-n; eng-30-00021939-n	 n: natural object:1; n: artifact:1; artefact:1	noun.object; noun.artifact	n: whole:1; unit:1 < n: object:1; physical object:1 < n: physical entity:1	n: whole:1; unit:1 < n: object:1; physical object:1 < n: physical entity:1		 n: natural object:1 + n: artifact:1; artefact:1		 n: natural object:1; n: artifact:1; artefact:1	 n: natural object:1; n: artifact:1; artefact:1		eng-30-00019128-n; eng-30-00021939-n
				Artifact						eng-30-00021939-n	n: artifact:1; artefact:1	noun.artifact	n: whole:1; unit:1 < n: object:1; physical object:1 < n: physical entity:1					n: artifact:1; artefact:1	n: artifact:1; artefact:1		eng-30-00021939-n
					Artwork					eng-30-06998748-n; eng-30-04007894-n	 n: artwork:1; art:4; graphics:2; nontextual matter:1; n: product:2; production:5	noun.communication; noun.artifact	n: visual communication:1 < n: communication:1 < n: abstraction:1; abstract entity:1	n: creation:3 < n: artifact:1; artefact:1		n: product:2; production:5		n: product:2; production:5	 n: artwork:1; art:4; graphics:2; nontextual matter:1; n: product:2; production:5		eng-30-06998748-n; eng-30-04007894-n
						Movie				eng-30-03338821-n	n: motion-picture film:1; movie film:1; cine-film:1	noun.artifact	n: film:4; photographic film:1 < n: photographic paper:1; photographic material:1 < n: photographic equipment:1 < n: equipment:1 < n: instrumentality:1; instrumentation:3 < n: artifact:1; artefact:1					n: motion-picture film:1; movie film:1; cine-film:1	n: motion-picture film:1; movie film:1; cine-film:1		eng-30-03338821-n
						Picture				eng-30-03876519-n	n: painting:4; picture:3	noun.artifact	n: graphic art:1 < n: art:2; fine art:1 < n: creation:3 < n: artifact:1; artefact:1					n: painting:4; picture:3	n: painting:4; picture:3		eng-30-03876519-n
					Beverage					eng-30-07881800-n	n: beverage:1; drink:8; drinkable:2; potable:2	noun.food	n: food:1; nutrient:1 < n: substance:2 < n: matter:1 < n: physical entity:1					n: beverage:1; drink:8; drinkable:2; potable:2	n: beverage:1; drink:8; drinkable:2; potable:2		eng-30-07881800-n
						Alcoholic_Drink				eng-30-07884567-n	n: alcohol:1; alcoholic drink:1; alcoholic beverage:1; intoxicant:3; inebriant:1	noun.food	n: beverage:1; drink:8; drinkable:2; potable:2 + n: beverage:1; drink:8; drinkable:2; potable:2 < n: drug:3 < n: agent:6 < n: causal agent:1; cause:1; causal agency:1 < substance:2 + n: physical entity:1					n: alcohol:1; alcoholic drink:1; alcoholic beverage:1; intoxicant:3; inebriant:1	n: alcohol:1; alcoholic drink:1; alcoholic beverage:1; intoxicant:3; inebriant:1		eng-30-07884567-n
							Wine			eng-30-07891726-n	n: wine:4; vino:1	noun.food	n: alcohol:1; alcoholic drink:1; alcoholic beverage:1; intoxicant:3; inebriant:1					n: wine:4; vino:1	n: wine:4; vino:1		eng-30-07891726-n
						Water				eng-30-07935504-n	n: water:6	noun.food	n: food:1; nutrient:1 < n: substance:2 < n: matter:1 < n: physical entity:1					n: water:6	n: water:6		eng-30-07935504-n
					Building					eng-30-04341686-n; eng-30-02913152-n	n: structure:2; construction:4; n: building:3; edifice:1	noun.artifact	n: artifact:1; artefact:1	n: structure:2; construction:4 < n: artifact:1; artefact:1		n: building:3; edifice:1 + някои хипоними от другото		n: structure:2; construction:4; n: building:3; edifice:1	n: structure:2; construction:4; n: building:3; edifice:1		eng-30-04341686-n; eng-30-02913152-n
						Cinema				eng-30-03032252-n	n: cinema:1; movie theater:1; movie theatre:1; movie house:1; picture palace:1	noun.artifact	n: theater:1; theatre:1; house:6 < n: building:3; edifice:1 < n: structure:2; construction:4 < n: artifact:1; artefact:1			hyponym of theater:1		n: cinema:1; movie theater:1; movie theatre:1; movie house:1; picture palace:1	n: cinema:1; movie theater:1; movie theatre:1; movie house:1; picture palace:1		eng-30-03032252-n
						Theater					n: theater:1; theatre:1; house:6	noun.artifact	< n: building:3; edifice:1 < n: structure:2; construction:4 < n: artifact:1; artefact:1					n: theater:1; theatre:1; house:6	n: theater:1; theatre:1; house:6		eng-30-04417809-n
					Device					eng-30-03575240-n; eng-30-03183080-n	n: instrumentality:1; instrumentation:3; n: device:2	noun.artifact	n: artifact:1; artefact:1 < n: whole:1; unit:1 < n: object:1; physical object:1 < n: physical entity:1	n: instrumentality:1; instrumentation:3		n: device:2 {noun.artifact} < n: instrumentality:1; instrumentation:3 < n: artifact:1; artefact:1 < n: whole:1; unit:1 < n: object:1; physical object:1 < n: physical entity:1		n: instrumentality:1; instrumentation:3	n: device:2		eng-30-03575240-n; eng-30-03183080-n
						Software				eng-30-06566077-n; eng-30-04257533-n	n: software:1; software program:1; computer software:1; software system:1; software package:2; package:3; n: software package:1; software product:1	noun.communication; noun.artifact	n: code:4; computer code:1 < n: coding system:1 < n: writing:3 < n: written communication:1; written language:1; black and white:3 < n: communication:1	n: merchandise:2; ware:2; product:1 < n: commodity:1; trade good:1; good:24 < n: artifact:1; artefact:1		n: software package:1; software product:1		n: software:1; software program:1; computer software:1; software system:1; software package:2; package:3; n: software package:1; software product:1	n: software:1; software program:1; computer software:1; software system:1; software package:2; package:3; n: software package:1; software product:1		eng-30-06566077-n; eng-30-04257533-n
					Document					eng-30-03217458-n	n: document:3; n: document:4; written document:1; papers:1	noun.artifact; noun.communication	n: representation:3 < n: creation:3 < n: artifact:1; artefact:1 < 	n: writing:4; written material:1; piece of writing:1< n: written communication:1; written language:1; black and white:3 < n: communication:1		n: document:3 + n: document:4; written document:1; papers:1		n: document:3; n: document:4; written document:1; papers:1	n: document:4; written document:1; papers:1		eng-30-03217458-n
						Agreement				eng-30-06479665-n	n: legal document:1; legal instrument:1; official document:1; instrument:8	noun.communication	n: document:4; written document:1; papers:1 < n: writing:4; written material:1; piece of writing:1 < n: written communication:1; written language:1; black and white:3 < n: communication:1			 n: agreement:3; understanding:5 {noun.communication} < n: statement:4 < n: message:5; content:6; subject matter:1; substance:5 < n: communication:1 < n: abstraction:1; abstract entity:1 {noun.Tops} < n: entity:1  {noun.Tops}		n: legal document:1; legal instrument:1; official document:1; instrument:8	n: agreement:3; understanding:5		eng-30-06479665-n; eng-30-06770275-n
					Food					eng-30-00021265-n; eng-30-07555863-n	n: food:1; nutrient:1; n: food:3; solid food:1	noun.food	n: substance:2 < n: matter:1 < n: physical entity:1	n: solid:18 < n: matter:1 < n: physical entity:1		n: food:1; nutrient:1 + n: food:3; solid food:1		n: food:1; nutrient:1; n: food:3; solid food:1	n: food:1; nutrient:1		eng-30-00021265-n; eng-30-07555863-n
						Meat				eng-30-07649854-n	n: meat:2	noun.food	n: food:3; solid food:1 < n: solid:18 < n: matter:1 < n: physical entity:1					n: meat:2	n: meat:2		eng-30-07649854-n
					Garment					eng-30-03051540-n; eng-30-03419014-n	n: clothing:1; article of clothing:1; vesture:2; wear:11; wearable:2; habiliment:1; n: garment:2	noun.artifact	n: consumer goods:1 < n: commodity:1; trade good:1; good:24 < n: artifact:1; artefact:1    +     n: artifact:1; artefact:1 < n: whole:1; unit:1 < n: object:1; physical object:1 < n: physical entity:1	n: clothing:1; article of clothing:1; vesture:2; wear:11; wearable:2; habiliment:1 < ...		n: clothing:1; article of clothing:1; vesture:2; wear:11; wearable:2; habiliment:1 +  n: garment:2		n: clothing:1; article of clothing:1; vesture:2; wear:11; wearable:2; habiliment:1; n: garment:2	n: garment:2		eng-30-03051540-n; eng-30-03419014-n
						Footwear				eng-30-03381126-n	n: footwear:2; n: footwear:1; footgear:1	noun.artifact	n: clothing:1; article of clothing:1; vesture:2; wear:11; wearable:2; habiliment:1	n: covering:4 < n: artifact:1; artefact:1 < n: whole:1; unit:1 < n: object:1; physical object:1 < n: physical entity:1		n: footwear:2 + n: footwear:1; footgear:1		n: footwear:2; n: footwear:1; footgear:1	n: footwear:2; n: footwear:1; footgear:1		eng-30-03381126-n
					Machine					eng-30-03699975-n	n: machine:4	noun.artifact	n: device:2 < n: instrumentality:1; instrumentation:3 < n: artifact:1; artefact:1	n: device:2 < n: instrumentality:1; instrumentation:3				n: machine:4	n: machine:4		eng-30-03699975-n
						Vehicle				eng-30-03100490-n; eng-30-04524313-n	n: conveyance:3; transport:8; n: vehicle:1	noun.artifact	n: instrumentality:1; instrumentation:3 < n: artifact:1; artefact:1	n: conveyance:3; transport:8 < n: instrumentality:1; instrumentation:3 < n: artifact:1; artefact:1 < n: whole:1; unit:1 < n: object:1; physical object:1 < n: physical entity:1		n: conveyance:3; transport:8 + n: vehicle:1		n: conveyance:3; transport:8; n: vehicle:1	n: vehicle:1		eng-30-03100490-n; eng-30-04524313-n
							Road_Vehicle			eng-30-04576211-n	n: wheeled vehicle:1	noun.artifact	n: container:1 < ... + n: vehicle:1 < n: conveyance:3; transport:8 < n: instrumentality:1; instrumentation:3 < n: artifact:1; artefact:1					n: wheeled vehicle:1	n: wheeled vehicle:1		eng-30-04576211-n
								Bicycle		eng-30-02834778-n	n: bicycle:2; bike:2; wheel:5; cycle:6	noun.artifact	n: wheeled vehicle:1					n: bicycle:2; bike:2; wheel:5; cycle:6	n: bicycle:2; bike:2; wheel:5; cycle:6		eng-30-02834778-n
								Car		eng-30-02958343-n	n: car:2; auto:1; automobile:2; machine:3; motorcar:1	noun.artifact	n: motor vehicle:1; automotive vehicle:1 < n: self-propelled vehicle:1 < n: wheeled vehicle:1 < ...					n: car:2; auto:1; automobile:2; machine:3; motorcar:1	n: car:2; auto:1; automobile:2; machine:3; motorcar:1		eng-30-02958343-n
								Motorbike		eng-30-03790512-n	n: motorcycle:2; bike:3	noun.artifact	n: motor vehicle:1; automotive vehicle:1 < n: self-propelled vehicle:1 < n: wheeled vehicle:1 < ...					n: motorcycle:2; bike:3	n: motorcycle:2; bike:3		eng-30-03790512-n
								Truck		eng-30-04490091-n	n: truck:3; motortruck:1	noun.artifact	n: motor vehicle:1; automotive vehicle:1 < n: self-propelled vehicle:1 < n: wheeled vehicle:1 < ...					n: truck:3; motortruck:1	n: truck:3; motortruck:1		eng-30-04490091-n
							Water_Vehicle			eng-30-04530566-n	n: vessel:1; watercraft:1	noun.artifact (vessel, watercraft)	n: craft:3 < n: vehicle:1 < n: conveyance:3; transport:8 < n: instrumentality:1; instrumentation:3 < n: artifact:1; artefact:1 < n: whole:1; unit:1 < n: object:1; physical object:1 < n: physical entity:1					n: vessel:1; watercraft:1	n: vessel:1; watercraft:1		eng-30-04530566-n
								Boat		eng-30-02858304-n	n: boat:2	noun.artifact	noun.artifact (vessel, watercraft)					n: boat:2	n: boat:2		eng-30-02858304-n
								Ship		eng-30-04194289-n	n: ship:6	noun.artifact	noun.artifact (vessel, watercraft)					n: ship:6	n: ship:6		eng-30-04194289-n
							Plane			eng-30-02686568-n; eng-30-04264914-n	n: aircraft:1;  n: spacecraft:1; ballistic capsule:1; space vehicle:1	noun.artifact	n: craft:3 < n: vehicle:1 < n: conveyance:3; transport:8 < n: instrumentality:1; instrumentation:3 < n: artifact:1; artefact:1 < n: whole:1; unit:1 < n: object:1; physical object:1 < n: physical entity:1	n: craft:3 < n: vehicle:1 < n: conveyance:3; transport:8 < n: instrumentality:1; instrumentation:3 < n: artifact:1; artefact:1 < n: whole:1; unit:1 < n: object:1; physical object:1 < n: physical entity:1		n: aircraft:1		n: aircraft:1;  n: spacecraft:1; ballistic capsule:1; space vehicle:1	n: aircraft:1;  n: spacecraft:1; ballistic capsule:1; space vehicle:1		eng-30-02686568-n; eng-30-04264914-n
							Train			eng-30-04468005-n	n: train:13; railroad train:1	noun.artifact	n: public transport:1 < n: conveyance:3; transport:8 < n: instrumentality:1; instrumentation:3 < n: artifact:1; artefact:1 < n: whole:1; unit:1 < n: object:1; physical object:1 < n: physical entity:1					n: train:13; railroad train:1	n: train:13; railroad train:1		eng-30-04468005-n
						Computer				eng-30-03082979-n	n: computer:1; computing machine:1; computing device:1; data processor:1; electronic computer:1; information processing system:1	noun.artifact	n: machine:4 < n: device:2 < n: instrumentality:1; instrumentation:3 < n: artifact:1; artefact:1					n: computer:1; computing machine:1; computing device:1; data processor:1; electronic computer:1; information processing system:1	n: computer:1; computing machine:1; computing device:1; data processor:1; electronic computer:1; information processing system:1		eng-30-03082979-n
					Weapon					eng-30-04565375-n	n: weapon:1; arm:6; weapon system:1; n: weaponry:1; arms:2; implements of war:1; weapons system:1; munition:4 	noun.artifact	n: instrument:5 < n: device:2 < n: instrumentality:1; instrumentation:3 < n: artifact:1; artefact:1	n: weaponry:1; arms:2; implements of war:1; weapons system:1; munition:4 < n: instrumentality:1; instrumentation:3 < n: artifact:1; artefact:1		n: weapon:1; arm:6; weapon system:1 +  n: weaponry:1; arms:2; implements of war:1; weapons system:1; munition:4 		n: weapon:1; arm:6; weapon system:1; n: weaponry:1; arms:2; implements of war:1; weapons system:1; munition:4 	n: weapon:1; arm:6; weapon system:1 		eng-30-04565375-n; eng-30-04566257-n
						Bomb				eng-30-03305522-n	n: explosive device:1	noun.artifact	n: device:2 < n: instrumentality:1; instrumentation:3					n: explosive device:1	n: explosive device:1		eng-30-03305522-n
						Firearm				eng-30-03467984-n	n: gun:6	noun.artifact	n: weapon:1; arm:6; weapon system:1 < n: instrument:5 < n: device:2 < n: instrumentality:1; instrumentation:3 < n: artifact:1; artefact:1					n: gun:6	n: gun:6		eng-30-03467984-n
						Projectile				eng-30-04008634-n	n: projectile:2; missile:2	noun.artifact	n: weaponry:1; arms:2; implements of war:1; weapons system:1; munition:4 < n: instrumentality:1; instrumentation:3 < n: artifact:1; artefact:1					n: projectile:2; missile:2	n: projectile:2; missile:2		eng-30-04008634-n
					Ball					eng-30-04274530-n	n: sphere:1	noun.artifact	n: artifact:1; artefact:1					n: sphere:1	n: sphere:1		eng-30-04274530-n
					Ceramic					eng-30-02997391-n	n: ceramic:1	noun.artifact	n: instrumentality:1; instrumentation:3 < n: artifact:1; artefact:1					n: ceramic:1	n: ceramic:1		eng-30-02997391-n
					Container					eng-30-03094503-n	n: container:1	noun.artifact	n: instrumentality:1; instrumentation:3 < n: artifact:1; artefact:1					n: container:1	n: container:1		eng-30-03094503-n
					Drug					eng-30-03247620-n	n: drug:3	noun.artifact	n: agent:6 < n: causal agent:1; cause:1; causal agency:1 < substance:2 + n: physical entity:1					n: drug:3	n: drug:3		eng-30-03247620-n
					Engine					eng-30-03287733-n; 	n: engine:1; n: engine:2	noun.artifact	n: engine:1 < motor:4 < n: machine:4					n: engine:1; n: engine:2	n: engine:1; n: engine:2		eng-30-03287733-n; 
